"rotationAngles","rotationAnglesMag"
6.35061163039849,6.22808329590772
5.92104839802695,6.02922050599915
5.35955395985754,5.64815088439476
4.87352439372536,5.24626412424139
4.61113262024353,4.92475947693854
4.58454183148543,4.6525167576386
4.71630978019844,4.35418655684449
4.93949460918051,4.01368210736184
5.25126507012689,3.72647312940746
5.71318131955231,3.70733064227009
6.34290926962758,4.1305076250297
7.07623911538674,4.95064199893627
7.80466049893589,6.00609485999384
8.462668901542,7.17207856361261
8.99595463171759,8.35804258039899
9.34308483081858,9.46568937039311
9.49485767757141,10.4347583859535
9.47757403775647,11.2206670529313
9.35155983293272,11.8060543458213
9.13296994814471,12.1277172599365
8.85987234216505,12.1917202307952
8.55664891301434,11.9375762385254
8.19190619330094,11.4312283161005
7.75296579799062,10.7111346226568
7.30158751949577,9.92432188628916
6.95951457410725,9.16563112758496
6.74728733830894,8.49565785045306
6.54928393555887,7.90546382053165
6.31481319175778,7.35195889388708
6.07659493360523,6.82084337217962
5.89515437376232,6.36282137321716
5.86766625265312,6.11418807344457
6.0336278218512,6.14515149458394
6.3491636199199,6.37746545482653
6.64487948866091,6.58466871102257
6.81537103844717,6.64027581289256
6.84193283415414,6.54242264662274
6.7456048357087,6.36160026071087
6.56218179165582,6.16041712795008
6.40884242242001,6.05146171601199
6.32474362594014,6.04241251588197
6.32088052281589,6.12319766331307
6.3082383711663,6.21021295396536
6.27604256298245,6.28012758197322
6.22677736180947,6.31880855795706
6.22912606034653,6.33504738398241
6.32552539429635,6.37760566321897
6.51306297922476,6.46389332491075
6.71777683415672,6.58167932472987
6.9049166255964,6.71652962457937
7.05963517762225,6.88596904115557
7.01395105182321,6.9677930475055
6.6896875807709,6.86551128027972
6.04809743108383,6.46076963077128
5.34513945514163,5.87353007602893
4.82915048972703,5.2658348390176
4.718236548033,4.84500061424465
5.01022366433541,4.68683353874456
5.53785470976885,4.73380735061641
6.10119874797905,4.88110959974513
6.64235385384378,5.11180394029885
7.19419387251508,5.46582484818102
7.82371223807878,6.02591910472091
8.49953744097569,6.83706563451779
9.12652890035671,7.87685451628755
9.63295209812217,9.06926101121568
9.96567387765266,10.274487282041
10.1402930553132,11.3824021926426
10.1785754979545,12.3153896895292
10.1158192017188,13.0420054242612
9.96195818183201,13.5238229531034
9.74429064198587,13.7189471155414
9.4807702494095,13.6198582863646
9.04924233207971,13.2519839034742
8.43919848015573,12.7353498556737
7.67470405595038,12.1008324709749
7.06829509292359,11.355034353632
6.70494223870248,10.291682807726
6.38311075892691,8.89950311651138
5.8037169260325,7.1435574542333
5.10717861183434,5.28847632058926
4.53265886089569,3.54681198247078
4.20031350985093,2.24886418093938
3.98590466738672,1.81132147568944
