Acc0,Acc1,Acc2,Gyr0,Gyr1,Gyr2,Mag0,Mag1,Mag2,Timestamp,dt
-0.21875,1.25,0.015625,16.7236328125,-17.35687255859375,9.14764404296875,12.725830078125,-2.5634765625,-19.4091796875,141518722428773,0.101738125
-0.28125,1.234375,0.03125,2.349853515625,-14.85443115234375,-2.1514892578125,13.092041015625,-2.777099609375,-20.294189453125,141518824121065,0.101692292
-0.21875,1.0625,0.0,9.14764404296875,-5.92041015625,-16.082763671875,13.031005859375,-2.777099609375,-19.53125,141518925213148,0.101092083
-0.1875,0.6875,0.015625,18.28765869140625,-1.31988525390625,8.73565673828125,12.87841796875,-2.685546875,-20.263671875,141519026011065,0.100797917
-0.09375,0.734375,-0.03125,-0.26702880859375,-5.50079345703125,12.33673095703125,12.63427734375,-2.593994140625,-20.172119140625,141519126485388,0.100474323
-0.15625,0.734375,-0.125,6.7138671875,4.24957275390625,-11.74163818359375,13.214111328125,-2.86865234375,-20.294189453125,141519227227210,0.100741822
-0.15625,1.25,-0.1875,6.7138671875,4.24957275390625,-11.74163818359375,13.24462890625,-3.143310546875,-20.1416015625,141519328024710,0.1007975
-0.40625,1.359375,-0.046875,-8.5906982421875,8.5601806640625,-6.439208984375,13.397216796875,-3.11279296875,-20.20263671875,141519428736325,0.100711615
-0.1875,0.859375,-0.015625,-5.19561767578125,3.73077392578125,-5.40924072265625,13.12255859375,-2.716064453125,-20.965576171875,141519529122575,0.10038625
-0.078125,0.625,-0.078125,0.4730224609375,0.3509521484375,8.39996337890625,13.031005859375,-2.960205078125,-20.355224609375,141519629682523,0.100559948
-0.09375,0.8125,-0.09375,6.09588623046875,1.07574462890625,3.80706787109375,13.153076171875,-3.0517578125,-19.989013671875,141519730348148,0.100665625
-0.171875,1.28125,0.0625,3.8909912109375,-8.30078125,3.143310546875,13.275146484375,-3.173828125,-20.69091796875,141519831131064,0.100782916
-0.0625,0.765625,0.078125,6.4239501953125,-5.706787109375,-0.67138671875,13.214111328125,-3.265380859375,-20.172119140625,141519931640023,0.100508959
-0.109375,0.890625,0.03125,8.5296630859375,-8.056640625,-12.6190185546875,13.214111328125,-3.2958984375,-20.172119140625,141520032900960,0.101260937
-0.09375,0.71875,0.03125,17.578125,2.46429443359375,0.35858154296875,13.153076171875,-3.021240234375,-20.843505859375,141520133723304,0.100822344
-0.109375,0.8125,-0.078125,11.5814208984375,1.9073486328125,8.30078125,13.153076171875,-3.0517578125,-20.538330078125,141520234457262,0.100733958
-0.171875,1.203125,-0.125,-4.1046142578125,44.04449462890625,-16.99066162109375,13.24462890625,-3.204345703125,-20.20263671875,141520334797575,0.100340313
-0.265625,0.859375,-0.171875,-11.566162109375,46.08154296875,-16.6168212890625,13.00048828125,-3.204345703125,-19.95849609375,141520435196793,0.100399218
-0.203125,0.875,-0.109375,-11.566162109375,46.08154296875,-16.6168212890625,12.6953125,-2.5634765625,-19.04296875,141520535573043,0.10037625
-0.203125,0.65625,-0.0625,-20.8740234375,56.40411376953125,-3.23486328125,12.176513671875,-2.227783203125,-18.280029296875,141520636328304,0.100755261
-0.171875,0.765625,-0.125,-17.364501953125,68.96209716796875,26.22222900390625,11.993408203125,-2.13623046875,-17.059326171875,141520737716168,0.101387864
-0.203125,1.1875,-0.015625,-8.23211669921875,50.22430419921875,0.1983642578125,12.0849609375,-2.13623046875,-16.05224609375,141520838391897,0.100675729
-0.234375,1.203125,0.0625,-8.23211669921875,50.22430419921875,0.1983642578125,12.0849609375,-2.349853515625,-15.899658203125,141520938956481,0.100564584
-0.234375,1.203125,0.03125,11.8560791015625,35.15625,-20.50018310546875,12.26806640625,-2.349853515625,-15.045166015625,141521039767678,0.100811197
-0.171875,0.71875,0.046875,8.0108642578125,28.86962890625,1.39617919921875,12.02392578125,-2.25830078125,-14.434814453125,141521140660283,0.100892605
-0.109375,0.734375,0.015625,4.50897216796875,11.6119384765625,1.97601318359375,11.871337890625,-2.25830078125,-13.427734375,141521242664918,0.102004635
-0.171875,1.078125,-0.109375,1.708984375,-4.28009033203125,-6.3934326171875,11.65771484375,-2.197265625,-13.36669921875,141521343848408,0.10118349
-0.171875,1.296875,-0.265625,5.27191162109375,-12.64190673828125,10.3607177734375,11.77978515625,-2.349853515625,-12.63427734375,141521445009345,0.101160937
-0.296875,1.28125,-0.109375,7.50732421875,-11.5814208984375,-6.5765380859375,11.688232421875,-2.50244140625,-11.688232421875,141521545865022,0.100855677
-0.171875,0.8125,-0.015625,0.0,-24.322509765625,-1.220703125,11.810302734375,-2.44140625,-13.671875,141521646638980,0.100773958
-0.0625,0.625,-0.078125,0.34332275390625,-31.829833984375,5.4931640625,11.53564453125,-2.166748046875,-12.969970703125,141521747464397,0.100825417
-0.078125,0.859375,-0.078125,2.6092529296875,-49.93438720703125,7.78961181640625,11.627197265625,-2.044677734375,-13.519287109375,141521848744189,0.101279792
-0.15625,0.8125,0.078125,23.4375,-82.5653076171875,-8.575439453125,11.71875,-1.89208984375,-13.73291015625,141521950061741,0.101317552
-0.234375,0.890625,0.015625,27.90069580078125,-81.94732666015625,-7.14111328125,12.02392578125,-2.01416015625,-16.998291015625,141522050396011,0.10033427
-0.140625,0.6875,0.015625,29.9835205078125,-31.99005126953125,2.44140625,12.14599609375,-1.89208984375,-18.1884765625,141522160117418,0.109721407
-0.140625,0.78125,-0.140625,18.12744140625,-44.34967041015625,9.36126708984375,12.02392578125,-1.8310546875,-18.37158203125,141522260597053,0.100479635
-0.234375,1.09375,-0.109375,18.12744140625,-44.34967041015625,9.36126708984375,12.115478515625,-2.105712890625,-18.707275390625,141522362059970,0.101462917
-0.265625,0.703125,-0.21875,11.4898681640625,-54.43572998046875,7.28607177734375,12.542724609375,-2.288818359375,-19.95849609375,141522462989188,0.100929218
-0.296875,1.015625,-0.046875,5.7220458984375,-45.44830322265625,14.1754150390625,12.847900390625,-2.655029296875,-20.1416015625,141522563974657,0.100985469
-0.1875,0.65625,-0.078125,-15.289306640625,-53.16162109375,2.90679931640625,13.24462890625,-3.204345703125,-21.575927734375,141522664691011,0.100716354
-0.1875,0.65625,-0.078125,-6.256103515625,-43.548583984375,23.2086181640625,13.214111328125,-3.7841796875,-23.13232421875,141522765601688,0.100910677
-0.203125,1.203125,-0.125,6.500244140625,-30.87615966796875,20.54595947265625,13.671875,-4.5166015625,-24.10888671875,141522866918355,0.101316667
-0.203125,1.203125,0.0,2.3193359375,-24.9176025390625,8.78143310546875,14.2822265625,-5.18798828125,-25.604248046875,141522967568928,0.100650573
