Acc0,Acc1,Acc2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,Timestamp,dt
-0.390625,1.1875,0.015625,0.7781982422,6.3629150391,3.8223266602,3.1127929688,13.5192871094,-12.0849609375,141114580986844,0.101016354
-0.34375,0.828125,-0.015625,5.5999755859,20.5307006836,-22.4838256836,3.0822753906,13.7939453125,-12.1765136719,141114681647313,0.100660469
-0.25,0.703125,0,-1.8844604492,48.0041503906,-14.5721435547,2.6245117188,14.0380859375,-12.0239257813,141114782267677,0.100620364
-0.234375,0.796875,-0.015625,-5.5923461914,39.0777587891,-11.3677978516,2.4719238281,14.404296875,-10.1318359375,141114883159448,0.100891771
-0.234375,0.796875,-0.015625,-13.2598876953,25.1846313477,3.3874511719,2.0141601563,14.6789550781,-9.3078613281,141114983968615,0.100809167
-0.390625,1.15625,-0.078125,-4.9438476563,18.8674926758,-0.9078979492,1.9226074219,14.7094726563,-8.6669921875,141115084858510,0.100889895
-0.421875,0.890625,-0.125,-5.5313110352,16.4566040039,3.6010742188,1.9226074219,14.5874023438,-8.2092285156,141115185866531,0.101008021
-0.359375,0.90625,-0.03125,-3.7689208984,0.6256103516,-5.5847167969,1.9836425781,14.6179199219,-9.27734375,141115288210854,0.102344323
-0.25,0.75,-0.015625,0.2746582031,-26.2603759766,1.9149780273,1.9226074219,14.7094726563,-8.544921875,141115388936896,0.100726042
-0.21875,0.8125,-0.0625,5.9661865234,-25.1770019531,-1.7547607422,1.9226074219,14.8620605469,-8.1481933594,141115489602573,0.100665677
-0.375,1.078125,-0.046875,0.3814697266,-7.0571899414,25.2990722656,1.8310546875,14.6179199219,-9.6740722656,141115590398562,0.100795989
-0.484375,1.28125,0.078125,1.1291503906,-11.5585327148,12.2299194336,2.1057128906,14.4958496094,-9.8571777344,141115691259552,0.10086099
-0.390625,1.140625,0.109375,20.1797485352,-14.6026611328,-7.4157714844,2.5329589844,14.3127441406,-10.1928710938,141115792055489,0.100795937
-0.21875,0.71875,0.015625,24.9328613281,-9.5672607422,-2.5482177734,2.4719238281,14.0380859375,-10.8642578125,141115895264343,0.103208854
-0.1875,0.734375,-0.046875,25.6958007813,-20.5307006836,0.4196166992,2.5634765625,14.1296386719,-11.7797851563,141115996662000,0.101397657
-0.390625,1.171875,-0.046875,1.2893676758,-7.6141357422,9.0560913086,2.6245117188,14.2211914063,-10.986328125,141116097527312,0.100865312
-0.328125,0.90625,-0.15625,13.3743286133,-6.8740844727,15.9225463867,2.5024414063,14.0075683594,-10.6201171875,141116197849500,0.100322188
-0.265625,0.96875,-0.09375,-3.1967163086,-6.5078735352,-11.848449707,2.5329589844,14.0075683594,-11.3525390625,141116298269187,0.100419687
-0.25,0.703125,-0.046875,-3.1967163086,-6.5078735352,-11.848449707,2.9602050781,13.6108398438,-10.6506347656,141116400578197,0.10230901
-0.234375,0.734375,-0.078125,-4.0283203125,-7.9193115234,4.6081542969,2.8381347656,13.5803222656,-12.1459960938,141116503002208,0.102424011
-0.328125,1.015625,-0.046875,4.9057006836,-33.4014892578,8.8424682617,2.5939941406,13.8244628906,-11.8408203125,141116604260385,0.101258177
-0.296875,1.234375,0.125,12.451171875,-43.0526733398,16.3955688477,2.8991699219,13.7023925781,-12.939453125,141116705236583,0.100976198
-0.296875,1.234375,0.125,22.0031738281,-50.4608154297,0.6637573242,3.173828125,13.3666992188,-13.0920410156,141116806387520,0.101150937
-0.28125,1.015625,0.09375,24.7802734375,-43.6553955078,-10.2081298828,3.662109375,12.7563476563,-13.8244628906,141116907326374,0.100938854
-0.21875,0.90625,0.015625,27.34375,-44.5404052734,-8.7280273438,3.8452148438,12.2375488281,-14.4653320313,141117008231166,0.100904792
-0.203125,0.75,-0.046875,10.2005004883,-22.2702026367,-2.2659301758,4.1809082031,11.71875,-15.8996582031,141117109516791,0.101285625
-0.265625,1.0625,-0.0625,3.6773681641,-11.1312866211,4.1427612305,4.2724609375,11.71875,-16.2048339844,141117210642780,0.101125989
-0.421875,1.0625,-0.09375,-4.3334960938,-3.2653808594,11.4440917969,4.2114257813,11.7492675781,-17.9748535156,141117311946687,0.101303907
-0.34375,0.9375,-0.046875,-20.9121704102,5.859375,-20.0729370117,4.4555664063,11.474609375,-16.3269042969,141117412654343,0.100707656
-0.28125,0.734375,-0.015625,-14.2822265625,10.9710693359,-0.3814697266,4.0893554688,12.0544433594,-17.2424316406,141117513161114,0.100506771
-0.265625,0.765625,-0.03125,-14.2822265625,10.9710693359,-0.3814697266,4.0893554688,12.0544433594,-17.2424316406,141117613867312,0.100706198
